lr,t,c_l,c_r,c_s,cc,cs,n_l,n_r,n_s,nn,s_l,s_r,s_s,sc,ss,sum
AGRN_LRP4,PAAD,62.2,2.12,111.69,30.4,13.84,63.92,1.24,79.01,18.24,52.75,0.96,50.85,25.78,11.74,433.21
AGRN_LRP4,PRAD,27.83,0.31,8.69,3.03,35.24,21.13,3.09,65.21,22.99,28.18,3.59,101.24,3.06,35.69,283.7
AGRN_LRP4,SKCM,48.06,3.63,113.29,39.49,17.16,17.55,1.65,28.97,6.56,31.21,1.58,49.22,25.65,11.14,441.7
AGRN_LRP4,STAD,60.5,4.72,171.52,48.21,11.1,12.12,2.49,30.13,5.09,36.32,1.09,39.48,28.95,6.66,592.53
AGRN_LRP4,THCA,82.07,29.16,2012.83,22.44,31.55,35.9,1.79,64.3,0.6,69.02,41.01,2830.6,18.87,26.53,10667.5
AGRN_LRP4,UCEC,100.54,9.6,654.53,49.84,8.24,29.3,1.67,48.96,2.53,68.19,1.59,108.21,33.8,5.59,1936.28
AMH_ACVR1,BLCA,1.99,5.43,3.83,18.72,52.09,0.19,12.27,2.34,4.06,0.71,15.1,10.67,6.64,18.48,57.71
AMH_ACVR1,BRCA,1.21,10.23,7.25,18.96,41.24,0.14,21.44,3.02,4.62,0.71,22.25,15.77,11.08,24.1,65.44
AMH_ACVR1,CESC,4.11,12.47,12.11,46.09,34.02,0.06,17.55,1.07,0.96,0.97,9.2,8.94,10.89,8.04,111.23
AMH_ACVR1,CRC,1.16,6.83,5.91,16.72,39.76,0.1,7.41,0.75,1.57,0.86,16.25,14.04,12.42,29.52,47.56
AMH_ACVR1,ESCA,2.48,14.5,11.49,36.81,37.98,0.25,5.2,1.31,1.33,0.79,14.96,11.86,11.75,12.13,97.79
AMH_ACVR1,GBM,9.4,10.44,0.84,37.44,57.74,1.17,8.97,10.5,4.01,0.08,16.11,1.29,0.32,0.49,262.11
AMH_ACVR1,HNSC,1.17,13.79,1.93,41.64,46.46,0.08,6.45,0.52,1.34,0.14,15.38,2.16,4.99,5.57,38.72
AMH_ACVR1,KIRC,0.32,15.39,6.44,21.64,19.86,0.05,15.64,0.8,3.55,0.42,14.13,5.91,28.65,26.29,22.46
AMH_ACVR1,KIRP,1.5,17.34,0.78,52.46,41.17,0.12,15.17,1.76,3.55,0.05,13.61,0.61,1.58,1.24,49.55
AMH_ACVR1,LGG,24.59,9.94,2.99,45.03,51.85,1.17,8.97,10.5,1.94,0.3,11.45,3.44,0.55,0.63,542.87
AMH_ACVR1,LIHC,0.4,6.4,0.81,32.7,40.76,0.04,6.36,0.26,3.32,0.13,7.98,1.01,10.33,12.88,7.85
AMH_ACVR1,LUAD,0.35,14.4,10.36,12.66,18.03,0.16,14.09,2.27,5.75,0.72,20.5,14.74,26.23,37.34,39.49
AMH_ACVR1,LUSC,1.88,17.42,2.16,43.41,47.6,0.15,14.77,2.23,2.96,0.12,19.1,2.37,2.87,3.15,75.32
AMH_ACVR1,MEDIAN,,,,29.52,40.97,,,,3.43,,,,9.94,,
AMH_ACVR1,OV,1.23,10.82,6.2,20.49,34.88,0.98,12.52,12.22,18.83,0.57,18.42,10.55,9.55,16.26,64.89
AMH_ACVR1,PAAD,5.7,11.52,0.0,29.53,66.79,0.39,20.81,8.18,3.68,0.0,26.05,0.0,0.0,0.0,222.47
AMH_ACVR1,PRAD,2.08,6.28,0.8,28.08,63.77,0.1,11.69,1.18,2.54,0.13,14.27,1.82,1.72,3.9,46.56
AMH_ACVR1,SKCM,0.86,14.83,4.99,35.17,34.85,0.08,10.7,0.87,2.4,0.34,14.7,4.95,13.85,13.72,36.06
AMH_ACVR1,STAD,2.54,8.7,6.55,25.73,50.39,0.16,7.36,1.19,1.38,0.75,17.05,12.83,7.61,14.9,86.09
AMH_ACVR1,THCA,0.39,32.36,7.44,24.38,32.93,0.16,26.98,4.34,8.49,0.23,43.72,10.06,14.55,19.65,51.17
AMH_ACVR1,UCEC,2.69,10.29,16.71,29.51,29.86,0.24,18.7,4.51,4.8,1.62,10.41,16.91,17.8,18.02,93.85
APP_CD74,BLCA,114.4,119.05,34008.1,0.4,26.36,258.34,857.16,221438.13,6.42,285.66,7943.28,2269081.23,0.99,65.83,3446857.99
APP_CD74,BRCA,255.75,245.71,81817.07,1.15,38.86,437.13,986.27,431123.39,7.9,332.98,8297.3,2762800.38,1.5,50.6,5460585.6
APP_CD74,CESC,188.91,329.32,45730.65,2.15,50.61,215.8,1132.6,244412.2,8.45,138.87,7745.34,1075563.93,1.58,37.2,2891120.51
APP_CD74,CRC,271.82,135.18,52599.6,0.76,37.72,295.87,1047.71,309988.64,6.44,389.1,6680.24,2599280.74,1.09,53.99,4814429.75
APP_CD74,ESCA,208.05,120.71,26580.13,1.08,47.03,94.58,243.91,23069.9,0.99,220.2,5276.36,1161847.79,1.14,49.77,2334354.33
APP_CD74,GBM,388.96,457.73,181526.21,2.1,46.53,668.9,225.9,151102.96,1.78,396.58,10144.84,4023234.87,2.14,47.44,8479888.2
APP_CD74,HNSC,199.06,111.44,32482.4,0.73,39.09,86.75,649.99,56389.84,1.86,291.48,5958.6,1736820.03,1.07,57.25,3034003.75
APP_CD74,KIRC,474.2,633.99,247959.02,2.5,49.35,675.2,961.6,649272.85,5.4,391.11,12522.06,4897454.79,2.06,40.7,12033328.56
APP_CD74,KIRP,542.0,248.07,71517.09,1.11,61.41,577.91,885.7,511855.76,4.23,288.3,13718.12,3954871.18,0.59,32.66,12107872.56
APP_CD74,LGG,412.92,94.21,41820.46,1.01,45.3,668.9,225.9,151102.96,3.91,443.89,4234.16,1879493.95,1.08,48.7,3859678.47
APP_CD74,LIHC,56.77,160.14,26900.7,0.51,24.13,91.0,478.04,43502.73,2.45,167.98,7537.7,1266175.13,1.52,71.39,1773600.96
APP_CD74,LUAD,183.84,332.84,70747.95,1.04,35.89,245.2,4883.18,1197366.07,20.38,212.56,11470.77,2438230.22,1.2,41.49,5876268.6
APP_CD74,LUSC,236.5,146.84,39146.8,0.61,36.42,245.12,4961.67,1216188.56,21.25,266.59,8814.34,2349846.14,0.68,41.05,5724524.07
APP_CD74,MEDIAN,,,,1.02,42.41,,,,5.91,,,,1.17,,
APP_CD74,OV,188.06,907.16,138583.65,5.17,49.59,166.53,150.52,25067.14,0.76,152.77,8709.26,1330485.5,4.2,40.29,3302599.4
APP_CD74,PAAD,158.54,192.77,59069.87,0.78,24.47,264.58,3819.64,1010599.43,25.93,306.43,6015.05,1843172.57,1.52,47.3,3897046.66
APP_CD74,PRAD,100.58,117.22,34908.92,0.96,20.41,268.66,704.55,189284.11,15.37,297.81,2499.67,744435.22,2.83,60.43,1231840.03
APP_CD74,SKCM,258.34,125.61,23967.95,0.19,52.05,213.45,7526.73,1606584.24,9.18,190.82,35272.57,6730668.12,0.14,38.45,17505979.27
APP_CD74,STAD,185.15,294.93,68695.88,1.85,39.53,157.52,1232.29,194107.96,6.57,232.92,6311.08,1470006.24,2.32,49.73,2955893.97
APP_CD74,THCA,395.18,120.25,31447.25,0.61,56.99,437.31,766.06,335004.91,4.28,261.5,11286.98,2951600.04,0.4,37.72,7825925.84
APP_CD74,UCEC,283.03,288.98,57680.92,1.47,54.16,257.0,1111.43,285632.32,5.14,199.6,10638.92,2123561.75,1.04,38.19,5559799.69
APP_TNFRSF21,BLCA,114.4,151.17,43182.11,18.95,4.74,258.34,60.52,15634.91,17.14,285.66,37.81,10800.39,47.33,11.84,91236.07
APP_TNFRSF21,BRCA,255.75,5.85,1946.48,6.43,20.55,437.13,20.16,8812.65,37.9,332.98,18.68,6221.54,8.37,26.75,23254.23
APP_TNFRSF21,CESC,188.91,16.41,2279.05,10.36,42.06,215.8,12.56,2710.64,9.05,138.87,66.66,9257.25,7.61,30.92,29940.96
APP_TNFRSF21,CRC,271.82,28.08,10926.28,14.31,18.65,295.87,35.78,10586.7,19.85,389.1,36.58,14234.36,20.49,26.69,53324.15
APP_TNFRSF21,ESCA,208.05,37.47,8251.66,19.36,27.21,94.58,17.63,1667.57,4.14,220.2,52.68,11599.15,20.49,28.8,40273.93
APP_TNFRSF21,GBM,388.96,31.48,12485.4,20.58,17.33,668.9,20.84,13940.86,23.43,396.58,26.51,10514.96,20.98,17.67,59499.94
APP_TNFRSF21,HNSC,199.06,34.25,9982.15,15.12,23.1,86.75,30.22,2621.53,5.81,291.48,52.32,15250.24,22.14,33.82,45085.91
APP_TNFRSF21,KIRC,474.2,33.88,13251.35,23.33,15.62,675.2,29.48,19906.37,28.91,391.11,22.69,8872.87,19.25,12.89,68855.47
APP_TNFRSF21,KIRP,542.0,44.5,12830.11,32.03,17.28,577.91,31.88,18424.64,24.47,288.3,24.0,6920.31,17.04,9.19,75305.93
APP_TNFRSF21,LGG,412.92,60.77,26974.45,29.15,11.23,668.9,20.84,13940.86,16.2,443.89,23.42,10394.43,31.34,12.08,86071.33
APP_TNFRSF21,LIHC,56.77,2.41,404.28,2.84,21.11,91.0,2.75,250.33,5.2,167.98,17.92,3009.43,8.39,62.47,4817.79
APP_TNFRSF21,LUAD,183.84,35.74,7596.48,16.73,26.29,245.2,11.59,2842.09,7.24,212.56,56.18,11942.16,19.34,30.4,39278.98
APP_TNFRSF21,LUSC,236.5,28.72,7656.23,15.5,27.69,245.12,14.56,3567.92,8.14,266.59,51.31,13678.78,17.47,31.21,43829.81
APP_TNFRSF21,MEDIAN,,,,17.72,20.83,,,,14.16,,,,18.81,,
APP_TNFRSF21,OV,188.06,15.32,2340.61,19.21,33.52,166.53,4.0,666.92,4.45,152.77,26.73,4083.82,15.6,27.23,15000.01
APP_TNFRSF21,PAAD,158.54,77.33,23696.11,18.71,9.96,264.58,39.4,10425.3,15.91,306.43,41.16,12613.4,36.17,19.25,65521.06
APP_TNFRSF21,PRAD,100.58,10.55,3142.83,6.2,11.53,268.66,18.96,5092.54,29.76,297.81,19.62,5842.79,18.37,34.14,17112.92
APP_TNFRSF21,SKCM,258.34,12.29,2345.57,12.04,29.29,213.45,34.76,7419.67,28.14,190.82,29.89,5704.52,8.9,21.63,26368.36
APP_TNFRSF21,STAD,185.15,58.29,13577.02,25.65,14.69,157.52,23.82,3752.26,8.92,232.92,33.37,7772.82,32.27,18.47,42072.65
APP_TNFRSF21,THCA,395.18,1.49,390.71,2.76,54.02,437.31,2.77,1211.73,5.65,261.5,29.29,7660.19,1.82,35.75,21428.85
APP_TNFRSF21,UCEC,283.03,21.01,4193.4,24.55,26.82,257.0,11.69,3004.45,12.4,199.6,22.95,4580.71,17.31,18.91,24219.94
AREG_ERBB3,BLCA,2.74,115.18,4408.65,5.11,0.39,43.65,24.86,1085.19,17.59,38.28,8.77,335.75,71.46,5.44,6168.97
AREG_ERBB3,BRCA,5.95,155.82,3696.39,13.97,3.13,22.38,43.61,976.06,14.71,23.72,34.9,827.82,55.72,12.48,6634.4
AREG_ERBB3,CESC,8.26,58.35,514.25,35.3,13.05,0.42,2.54,1.07,0.08,8.81,21.58,190.19,37.65,13.92,1365.94
AREG_ERBB3,CRC,106.17,134.3,2865.39,62.44,17.13,15.35,66.06,1014.1,4.44,21.34,36.85,786.16,12.55,3.44,22835.4
AREG_ERBB3,ESCA,11.8,71.63,2301.38,20.59,5.66,4.0,23.35,93.43,2.28,32.13,19.67,632.12,56.08,15.4,4103.94
AREG_ERBB3,GBM,0.0,6.05,36.96,0.0,0.0,0.29,12.5,3.64,5.95,6.11,3.36,20.53,60.47,33.58,61.13
AREG_ERBB3,HNSC,18.06,24.49,1251.38,15.05,6.75,18.19,26.7,485.6,16.52,51.1,10.98,561.14,42.58,19.09,2938.77
AREG_ERBB3,KIRC,3.18,55.24,133.34,34.96,18.38,1.34,23.26,31.07,6.18,2.41,29.04,70.1,26.53,13.95,502.59
AREG_ERBB3,KIRP,0.74,83.99,354.57,11.35,2.49,1.41,25.93,36.68,6.74,4.22,18.44,77.86,65.12,14.3,544.5
AREG_ERBB3,LGG,0.0,6.55,3.27,0.0,0.0,0.29,12.5,3.64,26.1,0.5,14.1,7.03,23.43,50.47,13.94
AREG_ERBB3,LIHC,0.12,97.99,218.16,4.06,0.59,0.85,18.2,15.38,5.52,2.23,14.32,31.88,78.37,11.45,278.37
AREG_ERBB3,LUAD,4.42,99.21,5222.34,5.07,1.7,33.43,32.85,1098.27,12.69,52.64,33.26,1750.82,60.33,20.22,8656.96
AREG_ERBB3,LUSC,2.71,26.82,954.23,3.0,1.36,36.5,25.46,929.38,38.38,35.59,12.15,432.5,39.4,17.86,2421.72
AREG_ERBB3,MEDIAN,,,,12.66,4.43,,,,6.07,,,,45.08,,
AREG_ERBB3,OV,1.1,31.02,127.22,11.06,10.0,1.32,0.99,1.31,0.42,4.1,28.05,115.01,41.24,37.28,308.5
AREG_ERBB3,PAAD,14.23,111.7,2253.66,33.7,7.32,1.66,22.53,37.48,0.79,20.18,24.26,489.56,47.8,10.38,4714.93
AREG_ERBB3,PRAD,0.0,86.15,360.91,0.0,0.0,1.48,40.18,59.29,9.03,4.19,56.4,236.27,54.98,35.99,656.48
AREG_ERBB3,SKCM,0.56,164.13,163.11,25.29,5.39,0.5,108.11,54.16,14.9,0.99,34.97,34.75,44.87,9.56,363.56
AREG_ERBB3,STAD,23.94,152.03,1219.28,59.75,11.54,7.85,37.52,294.51,4.83,8.02,29.35,235.41,20.02,3.86,6091.32
AREG_ERBB3,THCA,0.28,8.43,49.25,1.08,3.48,0.62,6.17,3.83,1.73,5.84,27.17,158.79,22.18,71.53,221.99
AREG_ERBB3,UCEC,2.12,49.51,204.18,23.33,10.24,0.43,13.03,5.62,1.25,4.12,21.74,89.66,45.29,19.89,450.82
ARTN_GFRA1,BLCA,4.37,0.05,0.1,3.45,37.73,1.17,2.12,2.48,39.84,2.01,0.54,1.08,1.59,17.39,6.23
ARTN_GFRA1,BRCA,4.81,36.32,34.89,69.15,12.76,0.31,14.07,4.38,1.73,0.96,6.7,6.44,13.81,2.55,252.66
ARTN_GFRA1,CESC,7.73,0.0,0.0,0.0,49.0,0.37,6.32,2.35,37.93,2.06,0.39,0.81,0.0,13.07,6.18
ARTN_GFRA1,CRC,1.63,0.0,0.0,0.0,41.85,0.93,1.77,1.65,37.21,0.82,1.13,0.93,0.0,20.95,4.43
ARTN_GFRA1,ESCA,6.66,0.0,0.0,0.0,73.29,0.35,4.03,1.41,9.2,1.59,1.69,2.69,0.0,17.52,15.38
ARTN_GFRA1,GBM,0.81,0.92,0.23,31.86,11.58,0.41,2.48,1.02,43.36,0.25,0.33,0.08,9.68,3.52,2.35
ARTN_GFRA1,HNSC,20.16,0.0,0.0,0.0,85.35,0.51,0.78,0.4,1.91,3.01,0.88,2.66,0.0,12.74,20.89
ARTN_GFRA1,KIRC,0.29,1.09,0.62,4.68,17.55,0.72,3.07,2.21,33.24,0.57,4.09,2.34,9.37,35.14,6.65
ARTN_GFRA1,KIRP,0.49,2.49,1.19,18.0,15.1,0.84,2.83,2.38,34.77,0.48,2.09,1.0,17.47,14.66,6.83
ARTN_GFRA1,LGG,0.35,12.65,3.78,47.28,1.12,0.41,2.48,1.02,10.76,0.3,0.3,0.09,39.9,0.95,9.48
ARTN_GFRA1,LIHC,0.19,2.91,1.37,12.92,14.13,0.04,7.14,0.29,6.75,0.47,3.18,1.5,31.61,34.59,4.33
ARTN_GFRA1,LUAD,2.74,0.08,0.04,6.7,67.85,0.28,1.31,0.37,11.08,0.53,0.82,0.43,1.29,13.07,3.32
ARTN_GFRA1,LUSC,29.87,0.06,0.2,7.26,82.09,0.27,1.4,0.37,1.42,3.09,0.72,2.22,0.75,8.49,26.11
ARTN_GFRA1,MEDIAN,,,,4.3,42.12,,,,16.84,,,,1.44,,
ARTN_GFRA1,OV,5.09,0.13,0.4,3.92,52.46,0.73,2.34,1.69,9.91,3.04,1.76,5.36,2.34,31.37,17.1
ARTN_GFRA1,PAAD,0.81,0.0,0.0,0.0,42.4,0.72,1.04,0.74,14.69,0.82,2.65,2.17,0.0,42.91,5.06
ARTN_GFRA1,PRAD,2.22,0.0,0.0,0.0,46.51,1.68,1.28,2.14,20.93,1.55,2.15,3.33,0.0,32.56,10.24
ARTN_GFRA1,SKCM,0.14,0.57,0.13,9.34,23.3,0.06,1.68,0.1,12.06,0.24,1.41,0.34,15.82,39.48,0.85
ARTN_GFRA1,STAD,1.99,0.0,0.0,0.0,70.27,0.44,4.29,1.89,20.34,0.27,3.29,0.87,0.0,9.39,9.3
ARTN_GFRA1,THCA,1.18,0.0,0.0,0.0,42.39,0.46,1.19,0.55,40.14,0.48,0.49,0.24,0.0,17.47,1.37
ARTN_GFRA1,UCEC,5.8,0.64,1.21,42.26,18.88,0.79,2.11,1.67,18.99,1.89,0.29,0.54,13.73,6.13,8.79
BGN_TLR2,BLCA,17.79,0.82,621.1,0.18,2.09,55.31,1.48,81.92,1.03,757.13,9.32,7054.44,7.82,88.87,7937.78
BGN_TLR2,BRCA,101.0,1.02,746.2,0.98,10.9,50.76,5.01,254.35,2.42,728.42,11.34,8258.56,7.1,78.6,10507.65
BGN_TLR2,CESC,29.31,1.79,410.76,1.72,8.73,223.38,1.07,239.23,7.83,229.24,9.09,2084.67,13.45,68.27,3053.67
BGN_TLR2,CRC,14.63,0.07,74.78,0.01,1.26,12.31,1.08,13.31,0.14,1137.01,8.4,9548.97,0.77,97.83,9760.87
BGN_TLR2,ESCA,31.89,1.67,901.44,0.93,4.64,18.97,0.8,15.2,0.27,539.03,8.33,4490.21,15.74,78.42,5725.79
BGN_TLR2,GBM,79.16,1.51,291.33,0.97,28.05,20.61,1.0,20.63,0.17,193.17,43.5,8403.43,2.37,68.44,12278.36
BGN_TLR2,HNSC,46.55,3.0,1045.77,2.91,8.7,28.81,2.55,73.34,1.53,348.08,8.97,3123.47,21.79,65.07,4800.16
BGN_TLR2,KIRC,72.86,1.0,1049.81,0.32,6.12,158.21,1.75,276.23,1.2,1045.6,19.26,20137.42,4.58,87.78,22939.91
BGN_TLR2,KIRP,58.11,1.04,98.0,2.42,32.27,146.75,1.58,231.27,9.24,93.89,13.9,1304.95,3.92,52.15,2502.49
BGN_TLR2,LGG,18.49,0.41,19.98,0.72,26.11,20.61,1.0,20.63,1.97,49.08,14.81,726.75,1.91,69.3,1048.72
BGN_TLR2,LIHC,7.6,0.12,105.03,0.02,0.79,122.62,1.31,160.13,3.67,894.28,4.54,4059.75,2.41,93.11,4360.31
BGN_TLR2,LUAD,66.07,1.72,851.77,0.71,9.4,157.51,14.6,2299.81,14.3,494.25,22.88,11307.27,5.3,70.3,16084.37
BGN_TLR2,LUSC,33.07,1.69,1435.71,0.34,2.83,188.27,13.35,2512.69,15.25,850.29,14.12,12003.49,8.71,72.86,16474.56
BGN_TLR2,MEDIAN,,,,0.72,7.05,,,,3.05,,,,5.65,,
BGN_TLR2,OV,38.87,0.58,687.68,0.12,3.02,46.85,1.82,85.07,0.47,1190.2,14.0,16665.39,3.82,92.56,18004.81
BGN_TLR2,PAAD,57.86,0.28,379.03,0.06,2.78,750.33,10.97,8228.29,31.12,1343.64,12.71,17083.28,1.43,64.61,26442.61
BGN_TLR2,PRAD,39.12,0.0,0.0,0.0,15.86,46.46,1.53,71.13,10.18,182.46,2.83,516.67,0.0,73.96,698.57
BGN_TLR2,SKCM,46.79,0.82,255.56,0.91,11.63,35.95,5.2,186.99,4.4,310.05,10.57,3276.19,6.01,77.06,4251.7
BGN_TLR2,STAD,32.51,0.91,513.14,0.93,4.49,21.05,0.82,17.33,0.55,563.29,4.38,2468.05,16.18,77.84,3170.6
BGN_TLR2,THCA,23.18,0.78,219.24,0.73,6.58,64.1,1.5,96.21,3.89,281.73,7.02,1977.45,8.86,79.94,2473.64
BGN_TLR2,UCEC,27.51,1.02,268.85,1.29,7.53,108.86,1.26,137.28,6.32,264.76,5.95,1575.84,12.37,72.5,2173.61
BGN_TLR4,BLCA,17.79,0.62,469.17,0.31,1.88,55.31,3.2,177.05,4.9,757.13,3.81,2887.6,12.99,79.93,3612.69
BGN_TLR4,BRCA,101.0,0.61,445.42,0.6,11.0,50.76,9.54,484.26,4.73,728.42,11.16,8128.08,4.35,79.33,10246.52
BGN_TLR4,CESC,29.31,0.0,0.0,0.0,5.74,223.38,3.88,866.96,49.34,229.24,3.44,789.32,0.0,44.92,1757.18
BGN_TLR4,CRC,14.63,2.09,2378.53,0.23,1.04,12.31,4.34,53.44,0.4,1137.01,9.43,10726.4,17.85,80.49,13326.97
BGN_TLR4,ESCA,31.89,0.0,0.0,0.0,5.55,18.97,1.05,19.94,0.56,539.03,6.19,3336.36,0.0,93.89,3553.66
BGN_TLR4,GBM,79.16,2.83,547.02,3.41,25.32,20.61,3.71,76.49,1.16,193.17,21.05,4066.87,8.31,61.8,6581.07
BGN_TLR4,HNSC,46.55,0.0,0.0,0.0,11.58,28.81,1.01,29.12,1.84,348.08,3.94,1370.1,0.0,86.58,1582.45
BGN_TLR4,KIRC,72.86,2.38,2486.77,0.76,5.5,158.21,5.66,895.68,3.94,1045.6,17.17,17951.88,10.93,78.88,22758.62
BGN_TLR4,KIRP,58.11,0.4,37.92,1.15,25.96,146.75,4.05,594.34,29.1,93.89,9.12,856.72,1.86,41.94,2042.67
BGN_TLR4,LGG,18.49,3.9,191.33,4.4,21.7,20.61,3.71,76.49,4.66,49.08,19.24,944.37,11.67,57.58,1640.1
BGN_TLR4,LIHC,7.6,0.34,299.97,0.07,0.72,122.62,2.35,288.09,7.4,894.28,3.66,3274.72,7.7,84.11,3893.17
BGN_TLR4,LUAD,66.07,0.18,86.95,0.15,9.04,157.51,10.54,1660.28,22.0,494.25,10.33,5104.87,1.15,67.65,7546.19
BGN_TLR4,LUSC,33.07,0.22,189.96,0.08,2.87,188.27,10.93,2057.91,21.28,850.29,8.4,7138.74,1.96,73.81,9671.64
BGN_TLR4,MEDIAN,,,,0.31,6.0,,,,4.81,,,,4.46,,
BGN_TLR4,OV,38.87,0.16,191.75,0.06,3.07,46.85,2.73,127.93,1.14,1190.2,8.87,10558.3,1.71,94.03,11229.02
BGN_TLR4,PAAD,57.86,0.0,0.0,0.0,2.95,750.33,6.52,4895.14,28.45,1343.64,8.78,11800.45,0.0,68.59,17203.78
