sample,ILC_LumA_T,IDC_LumB_T,IDC_LumA_T,IDC_Basal_T,IDC_Her2_T
ATP2A1,-1.3005,-0.9132,-1.4113,-0.9971,-1.4705
CALHM1,-5.5735,-4.6082,-4.6082,-6.5064,-5.5735
ZNF880,2.835,2.7444,2.7689,3.0002,2.9846
NCAPG,1.2905,3.1677,1.8384,3.5584,2.7214
CLPSL2,1.9108,1.7228,1.6466,-0.394,0.5375
MELTF,1.8976,1.5514,1.6964,4.0357,1.2084
PTPRB,2.3677,1.0914,1.8404,0.517,1.1577
TMCO1,7.0744,7.2185,7.1211,6.72,7.0848
RAB5C,6.8965,6.7055,6.7536,6.0862,6.4925
NPBWR2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
UPP1,2.825,2.4998,2.5338,3.7529,2.9183
CEBPE,-3.816,-4.6082,-4.6082,-4.6082,-4.8099
TRABD2B,0.522,-1.7809,-0.6529,-2.114,-2.5069
KLK10,1.3538,-2.4272,-0.2415,3.6324,-1.7818
KDM5B,4.8878,4.8651,4.8264,4.8309,5.0664
STPG1,2.1606,2.175,2.2916,2.3193,1.9638
PTPRH,-2.2113,-2.146,-1.8836,-2.8262,-1.6214
PCMTD1,4.9333,4.9242,4.9421,4.6142,4.34
OR14A16,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
GLRA3,-3.458,-5.5735,-3.816,-6.5064,-6.5064
FRMD8,3.7286,3.6148,3.6376,4.1506,3.6446
HELZ2,3.4384,3.8763,3.6072,3.5086,3.538
FAM188B,1.6626,0.9152,0.9789,2.2019,1.395
MAP2K7,3.7188,3.2336,3.3478,3.4143,3.0838
GRIP1,1.2606,0.9418,1.2209,1.1117,1.4598
SLC2A1,5.2403,5.42,5.4578,6.297,5.6674
C6orf229,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
WNT1,-6.5064,-9.9658,-9.9658,-9.9658,-9.9658
SNRPD2,7.8568,7.922,7.8222,8.2221,7.8933
MUSK,-6.5064,-9.9658,-9.9658,-6.5064,-6.5064
PTPN4,2.4596,2.5852,2.4714,3.0234,2.6588
CDY1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
LZIC,4.2049,4.4156,4.4068,4.1019,4.3012
SPATA31D1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
MASP2,-1.4305,-2.146,-1.6622,-2.4659,-2.5479
RPRM,-3.458,-4.6082,-4.2934,-2.8262,-3.6259
SPAG11B,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
TNNT1,4.4426,4.5828,4.3938,1.674,2.8776
XKR5,-5.0116,-6.5064,-5.0116,-5.0116,-5.5735
MT-ND1,11.8374,11.7326,11.8216,11.4679,11.6522
CAMK1,3.2577,2.8542,2.9128,2.6138,2.3032
DEFA1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
H6PD,3.7122,3.0116,3.4108,3.0961,3.0986
GRAMD1C,1.8683,1.5998,1.7294,0.6145,0.8686
WFDC1,0.1584,-0.1505,0.3056,0.3573,0.1572
RPS6KB1,3.301,3.7572,3.5516,3.2602,3.6594
KCNE4,3.722,2.7962,4.1962,0.5859,1.5338
FCGR2B,3.2902,3.0398,2.74,3.287,3.131
HOXC13,2.2222,2.3632,1.962,1.7786,1.9014
PHYKPL,4.1563,3.5066,3.7587,3.0637,3.1209
TRIM27,4.8068,4.8238,4.8435,5.174,4.9916
PHLDA2,1.8956,2.7336,2.7127,2.9488,3.2729
CBL,1.6718,1.549,1.7251,1.884,1.3928
SMAP1,3.5851,3.7986,3.7372,4.1891,3.951
TERB2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
RLN1,-1.4502,-1.8836,-1.6394,-2.8262,-3.3076
EVPL,2.8984,2.8779,2.7106,2.8482,2.524
SMIM2,-9.9658,-9.9658,-9.9658,-9.9658,-7.7696
RDH12,-1.1172,-1.8314,-1.3183,-1.7809,-1.5522
IL27RA,2.7236,1.7574,2.2019,3.3032,1.8658
OR10H1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
BRDT,-4.6082,-4.6082,-5.0116,-9.9658,-8.2361
WDR70,4.1752,4.0127,4.0229,4.2465,4.1272
TTC5,2.4882,2.6738,2.6043,2.1925,2.4817
CENPH,2.7888,3.5155,2.8137,3.3506,3.0083
EPB41L2,4.0523,3.3897,3.7592,4.4654,3.4912
C1orf35,3.8684,3.6748,3.4095,3.7656,3.464
LDHA,8.2907,8.935,8.7217,8.9715,9.0485
XCL1,-1.3005,-1.7566,-2.2447,-1.1811,-1.2845
RBM10,4.4092,4.2754,4.2766,4.4443,4.313
DNMT3A,3.1796,3.3793,3.0994,3.7028,3.4993
CYP4F22,1.1147,-0.8342,0.7277,-3.0469,-2.4748
PDE5A,2.3634,1.6603,1.9822,1.177,1.0538
ZNF304,2.362,2.3018,2.4544,2.0111,2.086
ATP6AP2,6.6334,6.7688,6.8094,6.4396,6.6499
ATP23,2.4117,2.8412,2.5176,2.6371,2.7485
TREH,-5.0116,-5.5735,-4.8099,-6.5064,-5.5735
NOP16,4.0387,4.22,4.0344,4.728,4.0917
HEY2,1.0813,0.2153,1.0468,0.6969,0.4967
ACOX2,4.0653,4.211,3.7474,0.3685,3.8472
ASUN,3.499,3.943,3.7694,4.7093,3.9184
MAJIN,-4.6082,-5.0116,-4.6082,-3.816,-3.4668
PROSER2,2.325,2.0324,2.1814,2.3394,1.8484
PPP1R7,5.7489,5.7826,5.8043,5.7589,5.876
HNRNPA2B1,8.6383,8.9677,8.7422,8.887,8.8868
OR51E2,-3.1714,-3.3076,-2.9324,-3.816,-3.3828
CYP2E1,0.1257,-0.7108,-0.5973,-1.4699,-1.0587
PES1,5.0738,5.1316,4.9663,5.5595,5.3578
HSDL2,4.2492,4.5543,4.2972,3.2856,3.9031
PTCD3,4.1828,4.3611,4.1812,4.4906,4.4725
STARD5,2.4103,1.6852,1.934,1.2875,1.884
TSPEAR,-5.5735,-5.2926,-5.0116,-5.5735,-3.9255
DNAJC8,5.7106,5.6974,5.791,5.8151,5.7829
SRRM1,5.0499,4.8672,4.9372,5.0339,4.8258
FLYWCH2,5.107,4.9633,5.1237,4.2714,4.8725
NTM,2.567,2.7006,2.9774,1.7489,2.5609
LSM4,6.4981,6.7554,6.4272,6.9863,6.5161
IFNA1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
DDX3X,6.189,6.266,6.258,6.0562,6.2163
RPL41,11.0898,10.8318,10.8731,10.4167,10.7394
SERPINB3,-9.9658,-9.9658,-9.9658,-5.0116,-9.9658
ASB2,-0.1996,-1.5314,-1.1976,-0.3566,-0.5549
CD1C,1.1512,-1.3183,-0.1188,-0.3566,-0.7346
MZT2A,6.7201,6.2,6.3208,5.8438,5.6478
EXOSC7,4.547,4.5076,4.5726,4.6335,4.5608
RECQL5,3.741,3.834,3.5826,3.6184,3.5619
ZNF35,1.674,1.8078,1.818,1.8879,1.7008
OGDHL,-4.2934,-4.2934,-4.6082,-2.7274,-4.6082
NOX1,-5.0116,-5.0116,-5.0116,-5.5735,-5.0116
FGFBP1,-3.9255,-9.9658,-5.0116,0.3346,-4.6082
FAM86C1,2.299,2.4701,2.4345,2.2452,2.2663
PIGA,1.8879,1.9415,1.9015,2.2693,2.2872
MNT,2.8868,2.5608,2.6533,2.5061,2.4412
MSANTD3,3.1401,3.1836,3.0748,4.0627,3.4484
OR2V2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
PLOD1,5.5938,5.5144,5.6056,6.8194,5.9042
CD79B,2.131,0.5614,0.8286,2.4649,1.4335
FARS2,3.5572,3.3689,3.4888,3.2496,3.2804
DDX60L,2.4921,2.9458,2.5707,2.4332,2.3294
VNN2,-0.1035,-0.8599,-0.5973,0.0158,-0.0278
RCN3,5.0897,4.3927,4.8665,5.033,4.6203
PPP4C,6.391,6.563,6.5702,6.4648,6.7668
JAKMIP3,-1.5105,-1.9942,-1.6172,-3.6259,-2.5914
ALDOA,10.0343,10.5554,10.3786,9.8582,10.6528
CTAGE6,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658
NCEH1,2.6681,2.8552,2.8117,1.8801,3.0956
RFX4,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658
NRAP,-6.5064,-6.5064,-6.5064,-6.5064,-8.2361
ZFYVE28,1.7638,1.1928,1.4598,1.0079,0.71
RCAN3,2.7992,2.6566,2.7931,3.1876,2.6394
GALC,3.4983,3.2251,3.4589,2.609,3.0626
ZNF451,3.0349,3.085,3.0893,3.1892,2.9747
RNF24,2.6532,2.909,2.6185,3.2236,2.8964
DROSHA,4.7724,4.8975,4.8243,5.174,5.1166
BCL7C,4.7358,4.3162,4.4862,4.5778,4.3326
LEMD2,4.8238,4.8741,4.7412,5.0794,4.7696
BTLA,-0.9406,-1.5314,-1.685,-0.6193,-0.9322
HES7,-4.6082,-6.5064,-5.0116,-5.5735,-6.5064
PRDM10,1.0363,1.125,1.0293,0.7748,1.0745
VPS18,3.345,3.096,3.3046,2.7572,3.2002
UQCRB,7.5638,8.1325,7.7175,8.175,7.9145
FAM69B,2.2633,1.544,1.5439,1.7954,1.628
PRRT1,2.1813,1.3874,1.7932,1.3225,0.8327
RNF5,5.5094,5.429,5.4544,5.4989,5.4709
ONECUT1,-9.9658,-9.9658,-9.9658,-9.9658,-6.5064
POTEC,-5.0116,-6.04,-5.5735,-9.9658,-9.9658
CCDC63,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
CDK8,2.2708,2.5597,2.409,3.2587,3.1661
PCBP3,-0.8998,-1.5951,-1.0559,0.058,-0.7964
LAMA1,-0.1665,-1.041,-0.2076,-0.0877,-0.3752
RIC8B,2.4466,2.6973,2.6394,2.0569,2.2329
PLK3,3.4648,2.6302,3.0011,3.0181,2.8095
MPLKIP,1.3397,1.3397,1.2992,1.5514,1.224
LIPJ,-4.8099,-5.5735,-5.0116,-5.0116,-5.5735
EN1,-0.7108,-1.2142,-0.7346,4.6341,-0.2194
PEMT,4.3335,3.9584,4.0264,4.2204,3.7736
TRIM51,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
WNK4,4.0888,1.7594,2.3322,-2.6349,-0.9269
LNPEP,2.8857,2.9893,2.972,2.0325,2.4973
PXT1,-5.5735,-5.5735,-6.5064,-4.035,-5.0116
MRPL22,5.1652,5.4187,5.2824,5.1752,5.1857
SLC7A11,-1.431,-1.0265,-1.2142,-0.2671,-0.8998
NCAN,-6.5064,-6.5064,-6.5064,-5.0116,-6.5064
GABRA3,-9.9658,-6.5064,-9.9658,-3.816,-5.5735
DOCK10,2.8531,2.6658,2.7281,2.3649,2.4043
DHDDS,4.1132,3.9617,4.0947,4.0269,3.9612
C10orf90,-2.5504,-5.0116,-3.6259,-1.2481,-4.6082
MGA,2.0218,2.2527,2.3222,2.118,2.3236
RMI2,2.8108,4.1914,3.0782,3.8531,3.692
GALNT16,2.7993,1.77,2.2588,0.2154,0.1388
CLEC3A,-1.3374,1.408,-1.1017,-6.5064,-1.6212
UROD,5.608,5.3333,5.5066,5.5404,5.3248
VPS45,4.9828,4.9362,4.7874,4.9322,4.7432
NLGN3,-0.8212,-1.8314,-1.5314,-2.3147,-1.9389
ARFGEF1,4.6899,5.3232,4.9853,4.5596,4.5076
GDF9,-0.7348,-0.9406,-1.0262,-2.0529,-1.5736
MAGEE2,-4.035,-6.5064,-5.0116,-5.5735,-5.5735
USP18,3.0118,3.89,3.0234,3.741,3.6634
SOSTDC1,-0.0204,-3.0469,-0.5023,1.9638,-2.0046
ZNF850,-1.2828,-0.8863,-1.3365,-0.9686,-0.7116
AKAP4,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
CAND1,5.2459,5.7137,5.5037,5.3005,5.5607
KCNJ5,0.1775,-0.4035,-0.4035,-0.4719,0.0225
KCNJ11,3.0217,2.676,2.871,-0.7108,1.4908
CRYBB1,-0.7227,-1.0862,-1.041,-1.4305,-1.1488
CAPN3,1.3188,0.03,0.4552,0.7146,0.595
CA10,-6.5064,-9.9658,-9.9658,-9.9658,-6.5064
TRAF3IP2,4.1144,4.0357,3.9928,4.423,4.4045
MEP1A,-5.5735,-5.5735,-6.5064,-5.5735,-5.0116
AGXT2,-5.5735,-5.5735,-5.5735,-9.9658,-6.5064
POGK,4.2825,4.2465,4.2016,4.5547,4.2824
OR5M8,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
PRKACB,3.1161,2.9938,3.3199,2.8582,3.457
BCAP29,5.0523,5.193,5.2221,4.7247,5.1714
CLCA4,-3.3828,-9.9658,-5.0116,-4.035,-6.5064
RLBP1,-9.9658,-9.9658,-9.9658,-2.7274,-9.9658
HOOK3,2.3774,2.53,2.6031,2.3423,2.5396
DHX15,5.7562,6.0164,5.8199,5.7568,5.7508
SNX19,4.0976,4.251,4.3166,3.6324,4.1498
IL4,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ATAD3C,1.6667,0.2518,1.7933,0.517,0.1965
CCDC188,-2.3516,-3.9255,-3.3828,-3.458,-3.6259
RPF1,4.6038,4.738,4.7861,4.4848,4.6012
RAD54L,0.7874,1.984,0.9716,3.0463,2.0514
CHORDC1,3.3958,4.189,3.8516,4.5669,4.1277
SLC18A2,-0.6304,-2.0236,-1.5314,-4.6082,-2.8262
ZNF180,1.9913,1.9767,1.9876,1.6466,1.5562
ATP6V0E1,7.7897,7.8668,7.9248,7.5982,7.9442
OGN,3.4951,0.9752,2.4062,-1.0262,1.163
BTBD16,-5.0116,-6.5064,-5.0116,-4.2934,-5.5735
N4BP1,3.6838,3.7247,3.7039,4.0497,4.0304
TBX19,0.2762,-0.3752,-0.1504,1.6512,-0.1665
JMY,1.7273,1.6443,1.7402,1.3225,1.3873
HMGB4,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ISLR2,0.0509,-1.4699,-0.7959,-2.2447,-1.8062
MYH7,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658
DUS4L,2.355,2.6325,2.4359,2.4306,2.1583
AKR1C2,2.676,0.8922,1.5265,1.8363,1.7449
ADCY2,1.1184,-0.1993,0.1836,0.9568,0.3172
TMEM86B,0.5714,0.2154,0.1776,0.7999,0.1775
RGS20,-4.035,-3.6259,-3.816,-1.0559,-2.4681
EIF3I,6.9347,7.0554,7.1326,7.2073,7.1404
TPO,-0.0725,-1.7809,-1.1172,-3.3076,-1.2497
HMGB2,6.4518,7.2092,6.488,7.3898,6.715
FAM185A,1.8384,1.886,1.8119,1.6695,1.4146
SLC15A5,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
UBE2N,5.9724,6.5269,6.2676,6.1342,6.5429
LSM2,5.6006,5.8082,5.5232,6.5116,5.8416
PDE1C,-0.9552,-2.6349,-1.4699,-0.8863,-2.0529
ABCA1,1.8504,1.8996,1.8322,1.595,1.7096
NIF3L1,4.0518,4.2728,4.1318,4.1708,4.2725
ANKRD1,-5.0116,-4.2934,-3.1714,-2.1779,-2.5479
MCOLN2,0.4174,0.3796,0.1648,1.4494,0.7099
MUT,3.5418,3.795,3.7138,3.4997,3.8576
VTA1,4.4473,4.9282,4.709,4.9141,4.941
MRPS25,3.9874,4.1216,3.8314,4.533,4.5572
SIM2,-0.7964,-0.482,-0.8339,2.1213,0.1002
ARHGAP23,2.8086,1.8782,2.5598,2.3106,2.2001
PON1,-2.6811,-4.6082,-4.035,-2.9324,-3.9255
LHX5,-9.9658,-9.9658,-9.9658,-6.5064,-8.2361
ZCCHC17,4.5371,4.566,4.6632,4.7666,4.5069
CC2D2A,2.5815,2.4973,2.6714,2.1378,1.7162
GPR35,0.1057,-0.482,-0.482,-0.0277,-0.4438
PRG4,0.396,-1.8314,-0.9828,-2.3147,-2.4659
MZT1,2.8964,3.3464,3.0208,3.3492,3.0766
TULP2,-4.2934,-5.5735,-5.0116,-4.2934,-5.0116
KATNB1,2.9205,2.9061,2.9214,3.3407,3.2699
C17orf51,-0.394,-1.2481,-0.6643,0.044,-0.9269
DCDC1,-0.3849,-1.1175,-0.3383,-3.458,-2.7768
S100A12,-3.458,-3.9255,-3.816,-2.3884,-2.3219
DLX6,-5.0116,-6.5064,-5.5735,-0.8339,-5.5735
ZNF248,2.0111,1.9822,1.9582,2.0004,1.6554
CREM,4.1015,4.1915,4.2033,4.4977,4.0386
RASSF4,2.74,2.4766,2.2768,4.0833,2.959
ZDHHC6,4.4216,4.4676,4.4132,4.287,4.4203
CFHR2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
POU6F1,1.9245,1.1151,1.4093,1.4547,0.6968
CSPG4,1.5734,1.0222,1.7316,2.1606,1.1959
CALML5,1.5732,1.0876,1.4386,5.5562,4.8375
XKR6,-1.8062,-3.1714,-1.7809,-1.8314,-2.5914
BIN3,4.058,3.1253,3.6382,3.6006,3.0181
B3GNT4,-1.4124,-1.6394,-1.8836,-0.3201,-0.8872
PLP1,-0.3023,-2.9324,-1.6394,-1.9379,-3.2395
PAX5,-3.3828,-4.2934,-4.035,-2.5479,-2.4313
PAGE2,-9.9658,-5.2926,-9.9658,-9.9658,-9.9658
RTN2,3.986,3.5754,3.975,2.3106,3.4527
LYZ,6.1164,6.298,5.6206,7.0439,6.6742
XYLT2,3.7318,3.6444,3.5827,2.8422,3.6686
DDX21,4.2818,4.7637,4.468,5.0135,4.7189
SH3BGR,2.8512,2.7847,2.8926,2.826,2.0808
VAC14,3.924,4.0238,3.9356,4.5874,4.424
C21orf91,1.6694,1.8098,1.8996,2.9637,1.9225
SAP30,3.2721,3.5135,3.1162,3.992,3.5362
ISG20L2,4.8495,5.106,4.8084,5.1543,4.7978
ZFYVE19,4.5654,4.5078,4.4686,3.928,4.4515
STOX1,1.0468,0.8113,1.1316,0.2522,0.0849
NR2F1,3.4404,1.496,2.2498,0.9343,2.6312
ZNF566,1.7573,1.886,1.766,1.692,1.6164
KRTAP1-5,-9.9658,-9.9658,-9.9658,-6.5064,-9.9658
MORF4L2,7.76,8.1396,7.9,7.55,7.9376
NAA30,2.792,3.1218,2.8887,2.3871,2.9309
PTGS2,-0.6643,-2.6349,-1.5951,-0.2159,-1.6858
ZZEF1,2.7095,2.5388,2.7368,2.3308,2.5695
SPZ1,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
CCDC90B,4.6166,4.6032,4.6938,4.9449,4.7345
SYNJ1,1.692,1.7617,1.6627,1.4494,1.8098
UBE2Z,5.489,5.7242,5.5773,5.3951,5.5959
CDK5RAP2,4.4516,4.1482,4.0922,4.0445,4.3017
CCDC167,4.443,5.2024,4.6966,5.4777,4.9588
MMP8,-5.5735,-5.0116,-5.0116,-3.816,-4.2934
ZNF132,0.6332,0.3346,0.7789,-0.1504,-0.05
NPPB,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
FOCAD,3.301,3.1548,3.3184,3.2752,2.9342
ICA1,5.1514,4.9117,5.1355,4.1002,5.0097
SLC5A10,-3.6259,-3.9255,-3.816,-4.6082,-4.2934
OSBPL5,3.831,3.4977,3.7038,2.9765,3.66
C11orf53,-2.2113,-3.458,-2.3147,-3.816,-3.2395
WIF1,-1.9379,-5.0116,-3.6259,-1.3548,-3.458
FGFR4,1.3108,0.9642,0.7578,1.3109,4.0636
TRIM25,3.3932,3.7196,3.2841,3.6136,3.4479
WDR36,2.6255,2.6208,2.5972,2.1444,2.2268
OR1J2,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
ATP13A5,-1.3005,-3.6259,-2.3884,-0.3383,1.4066
MBOAT1,3.4996,3.8974,3.892,2.9618,1.9562
CRB3,4.1264,4.0466,4.1526,3.7149,4.1094
XPO4,1.7052,1.6718,1.7702,1.8404,1.642
SEC14L3,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
TMEM30A,5.3661,5.3331,5.3502,5.3184,5.0749
ECHDC3,3.5041,3.1841,3.3752,3.7593,2.7636
ZGRF1,0.45,0.9716,0.346,1.0779,0.6231
CXorf38,2.636,2.7826,2.7227,2.578,2.6815
SERPINE3,-5.5735,-6.5064,-6.5064,-6.5064,-5.5735
AKR1B15,-2.3147,-3.2395,-2.4272,-0.3752,0.745
C8orf76,3.7384,4.8668,4.1632,4.7804,4.4845
DDR1,6.6506,6.7179,6.7494,6.3162,6.5928
NLRP4,-6.5064,-9.9658,-6.5064,-9.9658,-6.5064
CDH6,0.2338,-0.6083,-0.1031,-0.9686,-0.4628
SPI1,4.0086,3.6933,3.6405,4.1086,3.905
PGBD4,-1.1488,-1.2828,-1.1811,-1.5951,-1.3548
ZNF780A,2.7379,2.7128,2.7858,2.0776,2.6939
ATOH7,-6.5064,-6.5064,-6.5064,-3.1714,-6.5064
PPARA,0.804,0.2762,0.4708,1.8242,0.4552
SLC9A1,4.5145,4.3234,4.6106,3.8571,4.5602
ZNF425,0.8123,0.4813,0.7916,0.1257,0.1022
BPI,-0.1993,-2.5069,-1.3005,3.0706,-1.6172
NBPF9,3.0918,3.0411,3.0533,2.8341,2.2751
ZNF778,0.6001,0.4498,0.527,1.0573,0.8122
PRB2,-9.9658,-9.9658,-9.9658,-5.5735,-9.9658
SCPEP1,5.907,5.3785,5.5172,6.3837,5.945
GC,-9.9658,-9.9658,-9.9658,-9.9658,-9.9658
LYRM5,4.1412,3.9089,3.97,3.5863,3.7242
HTR1F,-3.0469,-3.458,-2.9324,-4.2934,-3.6259
FBXO28,3.8896,4.0068,3.831,3.8095,3.87
PDIA3,8.0626,8.6387,8.5148,8.6858,8.6006
