sample,IDC_Her2,IDC_Basal,IDC_LumA,IDC_LumB,ILC_LumA
CLEC3A,0.46,0.056,0.424,0.557,0.453
UROD,1.0,1.0,1.0,1.0,1.0
VPS45,1.0,1.0,1.0,1.0,1.0
NLGN3,0.1,0.037,0.025,0.016,0.066
ARFGEF1,1.0,1.0,1.0,1.0,1.0
GDF9,0.1,0.019,0.177,0.172,0.34
MAGEE2,0.0,0.009,0.0,0.0,0.0
USP18,1.0,1.0,1.0,1.0,1.0
SOSTDC1,0.24,0.766,0.414,0.09,0.491
ZNF850,0.22,0.224,0.04,0.172,0.038
AKAP4,0.0,0.0,0.0,0.0,0.0
CAND1,1.0,1.0,1.0,1.0,1.0
KCNJ5,0.5,0.402,0.333,0.311,0.594
KCNJ11,0.86,0.327,0.99,0.992,1.0
CRYBB1,0.02,0.028,0.051,0.074,0.113
CAPN3,0.7,0.71,0.672,0.525,0.896
CA10,0.08,0.019,0.0,0.049,0.0
TRAF3IP2,1.0,1.0,1.0,1.0,1.0
MEP1A,0.0,0.0,0.0,0.008,0.0
AGXT2,0.0,0.0,0.015,0.0,0.0
POGK,1.0,1.0,1.0,1.0,1.0
OR5M8,0.0,0.0,0.0,0.0,0.0
PRKACB,1.0,1.0,1.0,1.0,1.0
BCAP29,1.0,1.0,1.0,1.0,1.0
CLCA4,0.0,0.056,0.0,0.0,0.009
RLBP1,0.0,0.215,0.0,0.0,0.0
HOOK3,0.98,0.991,1.0,0.984,1.0
DHX15,1.0,1.0,1.0,1.0,1.0
SNX19,1.0,1.0,1.0,1.0,1.0
IL4,0.0,0.0,0.0,0.0,0.0
ATAD3C,0.56,0.617,0.737,0.574,0.858
CCDC188,0.02,0.0,0.015,0.016,0.047
RPF1,1.0,1.0,1.0,1.0,1.0
RAD54L,0.96,1.0,0.869,0.992,0.821
CHORDC1,1.0,1.0,1.0,1.0,1.0
SLC18A2,0.06,0.009,0.182,0.107,0.358
ZNF180,0.96,0.991,1.0,1.0,1.0
ATP6V0E1,1.0,1.0,1.0,1.0,1.0
OGN,0.72,0.355,0.929,0.672,0.991
BTBD16,0.0,0.009,0.0,0.0,0.0
N4BP1,1.0,1.0,1.0,1.0,1.0
TBX19,0.28,0.944,0.419,0.303,0.736
JMY,0.94,0.991,0.995,0.951,0.991
HMGB4,0.0,0.0,0.0,0.0,0.0
ISLR2,0.06,0.047,0.172,0.049,0.519
MYH7,0.0,0.009,0.0,0.0,0.009
DUS4L,1.0,1.0,1.0,1.0,1.0
AKR1C2,0.78,0.776,0.783,0.672,0.915
ADCY2,0.56,0.589,0.545,0.459,0.774
TMEM86B,0.58,0.832,0.621,0.598,0.802
RGS20,0.06,0.28,0.005,0.041,0.009
EIF3I,1.0,1.0,1.0,1.0,1.0
TPO,0.14,0.009,0.182,0.041,0.462
HMGB2,1.0,1.0,1.0,1.0,1.0
FAM185A,1.0,1.0,1.0,1.0,1.0
SLC15A5,0.02,0.0,0.0,0.0,0.0
UBE2N,1.0,1.0,1.0,1.0,1.0
LSM2,1.0,1.0,1.0,1.0,1.0
PDE1C,0.02,0.393,0.141,0.0,0.236
ABCA1,0.96,0.907,0.985,0.967,0.972
NIF3L1,1.0,1.0,1.0,1.0,1.0
ANKRD1,0.06,0.252,0.04,0.033,0.009
MCOLN2,0.7,0.879,0.551,0.631,0.651
MUT,1.0,1.0,1.0,1.0,1.0
VTA1,1.0,1.0,1.0,1.0,1.0
MRPS25,1.0,1.0,1.0,1.0,1.0
SIM2,0.5,0.738,0.369,0.459,0.396
ARHGAP23,0.98,0.991,1.0,0.992,1.0
PON1,0.08,0.075,0.096,0.098,0.142
LHX5,0.0,0.028,0.0,0.0,0.0
ZCCHC17,1.0,1.0,1.0,1.0,1.0
CC2D2A,0.98,1.0,0.995,1.0,1.0
GPR35,0.36,0.477,0.263,0.27,0.547
PRG4,0.28,0.215,0.343,0.262,0.575
MZT1,1.0,1.0,1.0,1.0,1.0
TULP2,0.0,0.0,0.0,0.0,0.0
KATNB1,1.0,1.0,1.0,1.0,1.0
C17orf51,0.22,0.533,0.182,0.131,0.208
DCDC1,0.02,0.0,0.389,0.221,0.387
S100A12,0.2,0.159,0.076,0.041,0.038
DLX6,0.0,0.421,0.0,0.0,0.0
ZNF248,1.0,1.0,1.0,1.0,1.0
CREM,1.0,1.0,1.0,1.0,1.0
RASSF4,1.0,1.0,1.0,1.0,1.0
ZDHHC6,1.0,1.0,1.0,1.0,1.0
CFHR2,0.02,0.0,0.0,0.0,0.0
POU6F1,0.82,0.963,0.97,0.918,1.0
CSPG4,0.88,0.897,0.98,0.885,0.981
CALML5,0.96,0.822,0.712,0.582,0.83
XKR6,0.1,0.159,0.091,0.082,0.104
BIN3,1.0,1.0,1.0,1.0,1.0
B3GNT4,0.28,0.364,0.066,0.057,0.028
PLP1,0.02,0.271,0.162,0.09,0.396
PAX5,0.16,0.178,0.04,0.033,0.113
PAGE2,0.12,0.056,0.025,0.098,0.0
RTN2,1.0,0.972,1.0,1.0,1.0
LYZ,1.0,1.0,1.0,1.0,1.0
XYLT2,1.0,1.0,1.0,1.0,1.0
DDX21,1.0,1.0,1.0,1.0,1.0
SH3BGR,1.0,0.991,1.0,1.0,1.0
VAC14,1.0,1.0,1.0,1.0,1.0
C21orf91,0.98,1.0,0.995,0.934,0.981
SAP30,1.0,1.0,1.0,0.984,1.0
ISG20L2,1.0,1.0,1.0,1.0,1.0
ZFYVE19,1.0,1.0,1.0,1.0,1.0
STOX1,0.54,0.617,0.828,0.656,0.792
NR2F1,0.96,0.692,0.98,0.91,1.0
ZNF566,0.98,0.991,1.0,0.992,0.991
KRTAP1-5,0.0,0.0,0.0,0.0,0.0
MORF4L2,1.0,1.0,1.0,1.0,1.0
NAA30,1.0,1.0,1.0,1.0,1.0
PTGS2,0.08,0.458,0.172,0.041,0.33
ZZEF1,1.0,1.0,1.0,1.0,1.0
SPZ1,0.0,0.0,0.0,0.0,0.0
CCDC90B,1.0,1.0,1.0,1.0,1.0
SYNJ1,0.98,0.981,1.0,1.0,1.0
UBE2Z,1.0,1.0,1.0,1.0,1.0
CDK5RAP2,1.0,1.0,1.0,1.0,1.0
CCDC167,1.0,1.0,1.0,1.0,1.0
MMP8,0.0,0.056,0.02,0.016,0.038
ZNF132,0.46,0.458,0.879,0.697,0.802
NPPB,0.0,0.0,0.0,0.0,0.0
FOCAD,1.0,1.0,1.0,1.0,1.0
ICA1,1.0,1.0,1.0,0.992,1.0
SLC5A10,0.0,0.0,0.01,0.0,0.0
OSBPL5,1.0,1.0,1.0,1.0,1.0
C11orf53,0.06,0.084,0.015,0.008,0.009
WIF1,0.02,0.318,0.106,0.033,0.311
FGFR4,1.0,0.879,0.662,0.721,0.858
TRIM25,1.0,1.0,1.0,1.0,1.0
WDR36,1.0,1.0,1.0,1.0,1.0
OR1J2,0.0,0.0,0.0,0.0,0.0
ATP13A5,0.7,0.458,0.106,0.139,0.274
MBOAT1,0.94,0.972,1.0,0.992,0.991
CRB3,1.0,1.0,1.0,1.0,1.0
XPO4,1.0,0.991,0.99,0.992,1.0
SEC14L3,0.0,0.0,0.0,0.008,0.0
TMEM30A,1.0,1.0,1.0,1.0,1.0
ECHDC3,0.98,1.0,0.985,0.984,1.0
ZGRF1,0.92,0.944,0.682,0.902,0.774
CXorf38,1.0,1.0,1.0,1.0,1.0
SERPINE3,0.0,0.0,0.0,0.0,0.0
AKR1B15,0.52,0.43,0.086,0.008,0.066
C8orf76,1.0,1.0,1.0,1.0,1.0
DDR1,1.0,1.0,1.0,1.0,1.0
NLRP4,0.0,0.0,0.0,0.0,0.0
CDH6,0.26,0.178,0.455,0.23,0.613
SPI1,1.0,1.0,1.0,1.0,1.0
PGBD4,0.0,0.009,0.02,0.041,0.028
ZNF780A,1.0,0.991,1.0,1.0,1.0
ATOH7,0.0,0.019,0.0,0.0,0.0
PPARA,0.72,0.981,0.687,0.631,0.877
SLC9A1,1.0,1.0,1.0,1.0,1.0
ZNF425,0.52,0.533,0.854,0.68,0.868
BPI,0.1,0.832,0.141,0.033,0.434
NBPF9,1.0,1.0,1.0,1.0,1.0
ZNF778,0.82,0.907,0.783,0.779,0.83
PRB2,0.0,0.056,0.0,0.0,0.0
SCPEP1,1.0,1.0,1.0,1.0,1.0
GC,0.0,0.0,0.0,0.0,0.009
LYRM5,1.0,1.0,1.0,1.0,1.0
HTR1F,0.0,0.0,0.051,0.0,0.0
FBXO28,1.0,1.0,1.0,1.0,1.0
PDIA3,1.0,1.0,1.0,1.0,1.0
TTPAL,1.0,1.0,1.0,1.0,1.0
UPF2,1.0,1.0,1.0,1.0,1.0
NRK,0.42,0.028,0.293,0.295,0.245
SLPI,0.98,0.991,0.99,0.869,1.0
ITGB3BP,1.0,1.0,1.0,1.0,1.0
TOR4A,0.7,0.673,0.596,0.549,0.811
HAUS7,1.0,1.0,1.0,1.0,1.0
MED1,1.0,1.0,1.0,1.0,1.0
CRH,0.0,0.0,0.005,0.0,0.0
KLHL10,0.0,0.0,0.0,0.0,0.0
CD164L2,0.08,0.57,0.293,0.197,0.292
TIMP4,0.14,0.252,0.525,0.369,0.84
RBM12,1.0,1.0,1.0,1.0,1.0
PDCD4,1.0,1.0,1.0,1.0,1.0
RBM43,0.98,0.925,1.0,0.959,1.0
OR5A2,0.0,0.0,0.0,0.0,0.0
TTLL1,1.0,1.0,1.0,1.0,1.0
QRFP,0.06,0.056,0.0,0.033,0.009
CHD1,1.0,1.0,1.0,1.0,1.0
WDR90,1.0,1.0,1.0,1.0,1.0
MAPK4,0.02,0.495,0.03,0.016,0.009
NYAP2,0.0,0.0,0.005,0.0,0.0
PRKAG3,0.12,0.065,0.005,0.016,0.0
SDAD1,1.0,1.0,1.0,1.0,1.0
SBNO2,1.0,1.0,1.0,1.0,1.0
FCGRT,1.0,1.0,1.0,1.0,1.0
IGDCC4,0.08,0.252,0.359,0.23,0.698
HAUS5,1.0,1.0,1.0,1.0,1.0
KDM4E,0.0,0.0,0.0,0.0,0.0
ZFHX2,0.34,0.215,0.47,0.377,0.434
CBY3,0.0,0.0,0.005,0.0,0.0
ZNF622,1.0,1.0,1.0,1.0,1.0
MYSM1,0.98,1.0,1.0,0.992,1.0
ANXA3,1.0,0.991,0.965,0.869,1.0
SPDYE3,1.0,0.972,0.99,1.0,1.0
HS3ST3A1,0.2,0.224,0.187,0.123,0.245
CMSS1,1.0,1.0,1.0,1.0,1.0
SZRD1,1.0,1.0,1.0,1.0,1.0
PHACTR3,0.0,0.019,0.035,0.016,0.019
GPSM2,1.0,0.991,1.0,1.0,1.0
RBM46,0.02,0.028,0.0,0.0,0.0
NPIPB3,1.0,1.0,1.0,1.0,1.0
ADGRA3,1.0,1.0,1.0,0.967,0.991
POLG,1.0,1.0,1.0,1.0,1.0
IGF1R,0.94,0.879,1.0,1.0,1.0
SAYSD1,1.0,1.0,1.0,1.0,1.0
F2RL2,0.88,0.645,0.955,0.926,1.0
SLA,1.0,0.972,0.98,0.975,0.991
PIH1D1,1.0,1.0,1.0,1.0,1.0
RPL38,1.0,1.0,1.0,1.0,1.0
PRDM9,0.0,0.0,0.0,0.0,0.0
PTPN12,1.0,1.0,1.0,1.0,1.0
TMPRSS9,0.06,0.009,0.04,0.049,0.009
ADIPOR2,1.0,1.0,1.0,1.0,1.0
TBC1D3B,0.36,0.402,0.545,0.492,0.67
FGF10,0.22,0.065,0.672,0.377,0.632
RHEB,1.0,1.0,1.0,1.0,1.0
RASD2,0.84,0.944,0.874,0.762,0.915
ZNF318,1.0,1.0,1.0,1.0,1.0
PRRT2,0.32,0.449,0.808,0.869,0.849
TONSL,1.0,1.0,0.949,0.984,0.943
ZNF664,1.0,1.0,1.0,1.0,1.0
IL10RA,1.0,0.972,0.99,0.967,1.0
TYK2,1.0,1.0,1.0,1.0,1.0
GNAT2,0.0,0.0,0.0,0.0,0.0
CYP26C1,0.0,0.0,0.0,0.0,0.0
FATE1,0.06,0.009,0.01,0.016,0.019
FAHD2B,1.0,1.0,1.0,0.992,1.0
TIPIN,1.0,1.0,1.0,1.0,1.0
PSMB5,1.0,1.0,1.0,1.0,1.0
BDH1,1.0,1.0,1.0,0.992,1.0
ARNT,1.0,1.0,1.0,1.0,1.0
TYW3,1.0,1.0,1.0,1.0,1.0
LRIG1,1.0,1.0,1.0,1.0,1.0
NR5A2,0.12,0.093,0.308,0.156,0.538
NOTCH2,1.0,1.0,1.0,1.0,1.0
C14orf79,1.0,1.0,1.0,1.0,1.0
RECQL,1.0,1.0,1.0,1.0,1.0
FN3KRP,1.0,1.0,1.0,1.0,1.0
GCFC2,1.0,1.0,1.0,1.0,1.0
FXYD6,1.0,1.0,0.995,1.0,1.0
MRPL10,1.0,1.0,1.0,1.0,1.0
PAQR3,1.0,1.0,0.995,0.992,0.991
DPYSL3,1.0,1.0,1.0,0.992,1.0
CXCL8,0.84,0.794,0.475,0.467,0.406
NCAPH2,1.0,1.0,1.0,1.0,1.0
FAM124A,0.06,0.495,0.116,0.049,0.377
ANTXR2,1.0,0.991,1.0,1.0,1.0
APBA2,0.68,0.897,0.515,0.516,0.396
MINOS1,1.0,1.0,1.0,1.0,1.0
SERPINI1,1.0,0.972,1.0,1.0,1.0
UBE2J1,1.0,1.0,1.0,1.0,1.0
EOMES,0.36,0.355,0.192,0.23,0.425
TNFAIP8L3,0.68,0.617,0.884,0.689,0.868
SPDEF,1.0,0.701,1.0,1.0,1.0
KIAA1324,1.0,0.963,1.0,1.0,1.0
SPATA24,0.86,0.963,0.985,0.918,0.991
HIST1H3F,0.08,0.065,0.02,0.025,0.009
NTN5,0.0,0.028,0.025,0.033,0.085
REM2,0.22,0.056,0.338,0.402,0.377
MZT2B,1.0,1.0,1.0,1.0,1.0
AJAP1,0.0,0.019,0.025,0.025,0.009
IFNA16,0.0,0.0,0.0,0.0,0.0
MCL1,1.0,1.0,1.0,1.0,1.0
VCAM1,0.98,0.991,0.995,1.0,1.0
